3.08567758e+14  9.55383964e+112 1.31005153e+127 
3.25847553e+20  9.11770705e-25  1.25024771e-10  
3.27698959e+20  9.10776523e-25  1.24888445e-10  
3.29550366e+20  9.09778700e-25  1.24751621e-10  
3.31401772e+20  9.08777266e-25  1.24614301e-10  
3.33253179e+20  9.07772246e-25  1.24476490e-10  
3.35104585e+20  9.06763669e-25  1.24338191e-10  
3.36955992e+20  9.05751563e-25  1.24199407e-10  
3.38807398e+20  9.04735953e-25  1.24060144e-10  
3.40658805e+20  9.03716869e-25  1.23920404e-10  
3.42510211e+20  9.02694337e-25  1.23780191e-10  
3.44361618e+20  9.01668385e-25  1.23639510e-10  
3.46213025e+20  9.00639040e-25  1.23498363e-10  
3.48064431e+20  8.99606330e-25  1.23356754e-10  
3.49915838e+20  8.98570282e-25  1.23214688e-10  
3.51767244e+20  8.97530925e-25  1.23072169e-10  
3.53618651e+20  8.96488285e-25  1.22929199e-10  
3.55470057e+20  8.95442391e-25  1.22785782e-10  
3.57321464e+20  8.94393269e-25  1.22641924e-10  
3.59172870e+20  8.93340947e-25  1.22497626e-10  
3.61024277e+20  8.92285453e-25  1.22352894e-10  
3.62875683e+20  8.91226814e-25  1.22207730e-10  
3.64727090e+20  8.90165059e-25  1.22062139e-10  
3.66578497e+20  8.89100213e-25  1.21916124e-10  
3.68429903e+20  8.88032306e-25  1.21769689e-10  
3.70281310e+20  8.86961365e-25  1.21622838e-10  
3.72132716e+20  8.85887416e-25  1.21475575e-10  
3.73984123e+20  8.84810489e-25  1.21327904e-10  
3.75835529e+20  8.83730609e-25  1.21179827e-10  
3.77686936e+20  8.82647805e-25  1.21031350e-10  
3.79538342e+20  8.81562104e-25  1.20882475e-10  
3.81389749e+20  8.80473534e-25  1.20733207e-10  
3.83241156e+20  8.79382122e-25  1.20583550e-10  
3.85092562e+20  8.78287896e-25  1.20433506e-10  
3.86943969e+20  8.77190882e-25  1.20283080e-10  
3.88795375e+20  8.76091109e-25  1.20132276e-10  
3.90646782e+20  8.74988603e-25  1.19981097e-10  
3.92498188e+20  8.73883393e-25  1.19829547e-10  
3.94349595e+20  8.72775504e-25  1.19677630e-10  
3.96201001e+20  8.71664966e-25  1.19525350e-10  
3.98052408e+20  8.70551804e-25  1.19372710e-10  
3.99903814e+20  8.69436047e-25  1.19219714e-10  
4.01755221e+20  8.68317721e-25  1.19066365e-10  
4.03606628e+20  8.67196853e-25  1.18912669e-10  
4.05458034e+20  8.66073472e-25  1.18758627e-10  
4.07309441e+20  8.64947603e-25  1.18604244e-10  
4.09160847e+20  8.63819273e-25  1.18449524e-10  
4.11012254e+20  8.62688511e-25  1.18294471e-10  
4.12863660e+20  8.61555342e-25  1.18139087e-10  
4.14715067e+20  8.60419795e-25  1.17983378e-10  
4.16566473e+20  8.59281895e-25  1.17827345e-10  
4.18417880e+20  8.58141669e-25  1.17670994e-10  
4.20269286e+20  8.56999145e-25  1.17514328e-10  
4.22120693e+20  8.55854349e-25  1.17357350e-10  
4.23972100e+20  8.54707308e-25  1.17200064e-10  
4.25823506e+20  8.53558049e-25  1.17042474e-10  
4.27674913e+20  8.52406598e-25  1.16884584e-10  
4.29526319e+20  8.51252981e-25  1.16726396e-10  
